"Rapportering starter","Rapportering slutter",Kampagnenavn,Resultater,Resultatindikator,"Pris pr. resultat","Brugt beløb (DKK)",Eksponeringer,"CPM (pris pr. 1000 eksponeringer) (DKK)",Køb,"Pris pr. køb (DKK)","Værdi af konverteringer fra køb","Annonceafkast fra køb"
2026-06-01,2026-06-07,"Leads kampagne -  Klaviyo",,,,0,0,0,,,,
2026-06-01,2026-06-07,"Advantage+ Voksen styles Kampagne",,,,0,0,0,,,,
2026-06-01,2026-06-07,"AW 24 - Holiday (køre indtil Winter Sale) Kampagne",,,,0,0,0,,,,
2026-06-01,2026-06-07,"Winter sale 25/12 Kampagne",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | Advantage+ targeting",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - testing | Konvertering (DE)",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - Prospecting - EU | Konvertering",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | CA - Summer Sale 25 (DK)",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | CA - Summer Sale 25 (DE)",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | Katalogsalg (DK)",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | Scale - WA (DK)",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - IG-track - engagement (DK)",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | Lead ad",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | CA - BW25 | DK",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | CA - BW25 | DE",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | CA - BW25 - katalogsalg | DK",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - katalogsalg | DK",82,actions:offsite_conversion.fb_pixel_purchase,137.63231707,11285.85,195680,57.675031,82,137.632317,104493.34,9.258792
2026-06-01,2026-06-07,"SM | CA - SALE 2026 - Prospecting (DK) | Conversion",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | CA - SALE 2026 - Prospecting (UDL) | Conversion",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - Testing - Conversion (Inkrementel) | DK",59,actions:offsite_conversion.fb_pixel_purchase,178.60542373,10537.72,204039,51.645617,59,178.605424,72913.89,6.919323
2026-06-01,2026-06-07,"SM | AO - Testing - Conversion (Inkrementel) | DE",2,actions:offsite_conversion.fb_pixel_purchase,2478.495,4956.99,70534,70.278022,2,2478.495,4122.78,0.83171
2026-06-01,2026-06-07,"SM - Boost - modeller",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - Bobbens x ANGULUS Kids - Collab | Conversion",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - Bobbens x ANGULUS Kids - Collab | Conversion – New",,,,0,0,0,,,,
2026-06-01,2026-06-07,"SM | AO - katalogsalg | DE [Inkrementel]",,,,0,0,0,,,,
2026-06-01,2026-06-07,"Advantage+ All styles Kampagne (start efter BF - Budget 1.500 kr)",,,,0,0,0,,,,
2026-06-01,2026-06-07,"AW 24 Kampagne",,,,0,0,0,,,,
2026-06-01,2026-06-07,"DE: AW 24 - Læg i kurv - Konvertering",,,,0,0,0,,,,
2026-06-01,2026-06-07,"COM Retargeting – Conversions",,,,0,0,0,,,,
2026-06-01,2026-06-07,"De Retargeting – Conversions",,,,0,0,0,,,,
2026-06-01,2026-06-07,"DE Advantage+ All styles",,,,0,0,0,,,,
